chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
整租,距离地铁长椿街372米,押2付3,7000,高楼层/12层,54.25,宣武门西大街,中装
整租,距离地铁长椿街578米,押2付3,8800,高楼层/16层,70,宣武门西大街新华社家属楼,中装
整租,距离地铁西四745米,押2付3,23000,中楼层/11层,113.48,西城晶华,精装
整租,距离地铁灵境胡同537米,押1付3,50000,中楼层/8层,217.5,丰融园,中装
整租,距离地铁宣武门575米,押2付3,4100,顶层/2层,41,东太平街胡同区,精装
整租,距离地铁长椿街504米,押2付3,9000,高楼层/17层,62.5,新文化街,精装
整租,距离地铁长椿街479米,押1付3,13000,底层/18层,74.1,佟麟阁路62号院,简装
随时看房,距离地铁长椿街398米,,18000,低楼层/6层,83,鲍家街43号,中装
整租,距离地铁灵境胡同652米,押2付3,18000,低楼层/22层,98,丰侨公寓,精装
整租,距离地铁西单659米,押2付3,7000,高楼层/6层,50,京畿道,中装
整租,距离地铁灵境胡同285米,押2付3,7500,高楼层/7层,58.1,宏汇园,中装
整租,距离地铁长椿街479米,押2付3,7500,高楼层/16层,49.9,佟麟阁路62号院,精装
整租,距离地铁西单721米,押2付3,10000,中楼层/17层,65,二龙路,精装
整租,距离地铁复兴门673米,押2付3,42000,中楼层/13层,205.51,金宸公寓,精装
整租,距离地铁复兴门673米,押2付3,25000,中楼层/13层,150.29,金宸公寓,精装
整租,距离地铁西单721米,押1付3,12000,低楼层/17层,65,二龙路,精装
整租,距离地铁复兴门824米,押2付3,45000,中楼层/8层,196,中海凯旋,精装
整租,距离地铁西单659米,押2付3,6500,顶层/6层,50.68,京畿道,中装
整租,距离地铁灵境胡同585米,押2付3,7200,顶层/12层,56,丰汇园小区,精装
整租,距离地铁长椿街479米,押2付3,16000,低楼层/18层,80,佟麟阁路62号院,精装
整租,距离地铁长椿街479米,押2付3,8000,中楼层/18层,55,佟麟阁路62号院,精装
整租,距离地铁西四745米,押1付3,15500,低楼层/11层,94.53,西城晶华,中装
整租,距离地铁复兴门673米,押2付3,40000,底层/13层,172.12,金宸公寓,精装
整租,距离地铁复兴门824米,押1付3,45000,高楼层/8层,171.28,中海凯旋,精装
整租,距离地铁复兴门424米,押1付3,10000,中楼层/14层,54.47,长安兴融中心,精装
整租,距离地铁灵境胡同285米,押1付3,13000,高楼层/7层,90,宏汇园,精装
整租,距离地铁复兴门824米,押2付3,30000,高楼层/8层,155,中海凯旋,精装
整租,距离地铁灵境胡同652米,押2付3,25000,中楼层/22层,135,丰侨公寓,精装
整租,距离地铁长椿街383米,押2付3,18000,中楼层/16层,85,北京尊府,豪装
整租,距离地铁灵境胡同285米,押2付3,3000,高楼层/7层,15,宏汇园,精装
整租,距离地铁西四727米,押2付3,6000,低楼层/6层,45,羊肉胡同,中装
整租,距离地铁灵境胡同285米,押1付3,10000,顶层/7层,53.7,宏汇园,精装
整租,距离地铁复兴门673米,押2付3,45000,顶层/13层,206,金宸公寓,精装
整租,距离地铁灵境胡同585米,押2付3,6500,低楼层/12层,50,丰汇园小区,精装
整租,距离地铁灵境胡同585米,押2付3,18000,中楼层/6层,73.6,丰汇园小区,精装
整租,距离地铁长椿街383米,押2付3,14000,顶层/16层,65.1,北京尊府,精装
整租,距离地铁灵境胡同652米,押1付3,15000,低楼层/22层,89,丰侨公寓,精装
整租,距离地铁复兴门673米,押1付3,42000,中楼层/15层,191,金宸公寓,精装
整租,距离地铁复兴门673米,押2付3,24000,顶层/13层,117.18,金宸公寓,精装
整租,距离地铁复兴门824米,押2付3,42000,高楼层/8层,170.75,中海凯旋,中装
整租,距离地铁长椿街504米,押2付3,7500,中楼层/21层,51.4,新文化街,中装
整租,距离地铁西单535米,押1付3,37000,底层/6层,214.72,丽华苑,中装
整租,距离地铁灵境胡同585米,押1付3,15000,中楼层/12层,74.38,丰汇园小区,精装
整租,距离地铁灵境胡同605米,押2付3,8000,低楼层/6层,65,云梯胡同,中装
整租,距离地铁长椿街383米,押1付3,15000,顶层/16层,65.1,北京尊府,精装
整租,距离地铁阜成门345米,押1付3,8000,低楼层/20层,48,民康胡同,精装
整租,距离地铁长椿街504米,押2付3,8000,中楼层/18层,67.3,新文化街,简装
整租,距离地铁灵境胡同301米,押2付3,10000,中楼层/17层,75,华远北街1号,豪装
整租,距离地铁西四745米,押1付6,74250,底层/1层,330,西城晶华,精装
整租,距离地铁灵境胡同585米,押1付3,9500,顶层/12层,57.2,丰汇园小区,中装
整租,距离地铁西四745米,押1付3,56000,中楼层/8层,238,西城晶华,精装
整租,距离地铁复兴门424米,押2付3,17800,顶层/14层,79.08,长安兴融中心,精装
整租,距离地铁阜成门345米,押2付3,9500,低楼层/19层,48,民康胡同,精装
整租,距离地铁复兴门424米,押1付3,9000,高楼层/14层,50,长安兴融中心,精装
整租,距离地铁灵境胡同301米,押2付3,8500,中楼层/17层,50,华远北街1号,精装
整租,距离地铁灵境胡同652米,押2付3,23000,底层/1层,48.86,丰侨公寓,精装
整租,距离地铁宣武门575米,押2付3,3600,底层/1层,25,东太平街胡同区,中装
整租,距离地铁西四745米,押2付3,28000,底层/7层,153,西城晶华,精装
整租,距离地铁阜成门345米,押2付3,7000,中楼层/18层,48,民康胡同,精装
整租,距离地铁灵境胡同285米,押2付3,10000,底层/7层,67,宏汇园,精装
整租,距离地铁灵境胡同585米,押2付3,9500,中楼层/12层,68,丰汇园小区,中装
整租,距离地铁灵境胡同285米,押2付3,8000,中楼层/7层,53,宏汇园,中装
整租,距离地铁长椿街272米,押2付3,7200,顶层/6层,65,石灯胡同6号院,精装
整租,距离地铁长椿街504米,押1付3,18000,中楼层/16层,84,新文化街,精装
整租,距离地铁长椿街419米,押2付3,24000,中楼层/18层,134,尚座大厦,精装
整租,距离地铁灵境胡同652米,押1付3,12000,中楼层/22层,84,丰侨公寓,精装
整租,距离地铁灵境胡同652米,押1付3,13000,低楼层/22层,70,丰侨公寓,中装
整租,距离地铁灵境胡同537米,押1付3,24000,顶层/8层,110,丰融园,精装
整租,距离地铁灵境胡同652米,押1付3,13000,高楼层/22层,87,丰侨公寓,精装
整租,距离地铁灵境胡同652米,押1付3,10000,低楼层/22层,58,丰侨公寓,精装
整租,距离地铁灵境胡同652米,押1付3,11500,低楼层/22层,70,丰侨公寓,精装
金融街,距离地铁复兴门454米,押2付3,60000,中楼层/10层,254,华荣公寓,精装
整租,距离地铁西四727米,押0付3,9500,底层/6层,80,羊肉胡同,中装
合租,距离地铁灵境胡同537米,押1付3,5000,高楼层/8层,30,丰融园,精装
整租,距离地铁灵境胡同585米,押2付3,19000,高楼层/6层,107,丰汇园小区,精装
整租,距离地铁灵境胡同537米,押1付3,24000,中楼层/8层,120,丰融园,精装
整租,距离地铁灵境胡同585米,押2付3,25000,底层/6层,122.3,丰汇园小区,精装
整租,距离地铁长椿街383米,押2付3,50000,中楼层/16层,185,北京尊府,精装
整租,距离地铁复兴门673米,押2付3,30000,中楼层/13层,127.25,金宸公寓,精装
整租,距离地铁西单659米,押2付3,6700,中楼层/6层,45,京畿道,中装
整租,距离地铁灵境胡同537米,押1付3,20000,顶层/8层,90.3,丰融园,精装
整租,距离地铁西单535米,押2付4,23000,高楼层/8层,100,丽华苑,精装
整租,距离地铁长椿街383米,押1付3,14000,高楼层/16层,65,北京尊府,精装
整租,距离地铁西单659米,押2付3,7500,低楼层/6层,38,京畿道,精装
随时看房,距离地铁灵境胡同585米,押2付12,37500,高楼层/11层,180,丰汇园小区,集中供暖
整租,距离地铁复兴门673米,押2付3,25000,顶层/13层,125,金宸公寓,中装
整租,距离地铁西单659米,押2付3,6800,中楼层/6层,40.9,京畿道,中装
整租,距离地铁西单659米,押1付3,7000,中楼层/6层,39.1,京畿道,中装
整租,距离地铁西四745米,押1付3,23000,中楼层/7层,127,西城晶华,精装
整租,距离地铁灵境胡同285米,押2付3,25000,底层/6层,109,宏汇园,中装
整租,距离地铁复兴门424米,押1付3,32000,高楼层/14层,120,长安兴融中心,精装
整租,距离地铁西四745米,押2付3,23000,顶层/11层,117,西城晶华,简装
整租,距离地铁西单659米,押2付3,7200,中楼层/6层,50,京畿道,精装
整租,距离地铁西四745米,押2付3,35000,顶层/7层,154,西城晶华,精装
整租,距离地铁西单659米,押2付3,7500,高楼层/6层,50,京畿道,精装
整租,距离地铁西四727米,押2付3,9500,底层/6层,80,羊肉胡同,中装
整租,距离地铁西四745米,押1付3,13000,中楼层/11层,75,西城晶华,精装
整租,距离地铁西单721米,押2付3,7000,高楼层/17层,50,二龙路,精装
整租,距离地铁西单659米,押2付3,9500,顶层/6层,58,京畿道,精装
整租,距离地铁西单721米,押2付3,11000,中楼层/17层,70,二龙路,精装
整租,距离地铁西四727米,押2付3,6500,高楼层/6层,50,羊肉胡同,精装
整租,距离地铁灵境胡同285米,押2付3,10500,中楼层/7层,85.2,宏汇园,简装
整租,距离地铁灵境胡同285米,押2付3,15000,底层/7层,90,宏汇园,精装
整租,距离地铁西单535米,押1付3,10000,中楼层/8层,50,丽华苑,精装
整租,距离地铁西单721米,押1付3,9500,低楼层/17层,65,二龙路,精装
整租,距离地铁灵境胡同585米,押2付3,6900,低楼层/12层,50,丰汇园小区,中装
整租,距离地铁西四727米,押1付3,7000,高楼层/6层,43.6,羊肉胡同,精装
整租,距离地铁灵境胡同285米,押2付3,10000,低楼层/7层,65,宏汇园,简装
整租,距离地铁西单659米,押2付3,6800,高楼层/6层,50,京畿道,中装
整租,距离地铁长椿街479米,押2付3,15000,低楼层/18层,80,佟麟阁路62号院,精装
整租,距离地铁西单659米,押2付3,9800,中楼层/6层,58,京畿道,精装
整租,距离地铁西四727米,押1付3,7200,顶层/6层,42,羊肉胡同,精装
整租,距离地铁灵境胡同585米,押2付3,20000,底层/6层,90,丰汇园小区,简装
