chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
成寿寺,距离地铁成寿寺64米,押1付3,4050,顶层/23层,38,中海城紫鑫阁,其他
距离地铁方庄911米,距离地铁方庄911米,押1付3,2600,中楼层/25层,20,OLD世纪星家园,合租
距离地铁成寿寺445米,距离地铁成寿寺445米,押1付3,1900,低楼层/24层,14,华芳园,合租
距离地铁成寿寺688米,距离地铁成寿寺688米,押1付3,2400,高楼层/17层,10,文成建筑,合租
距离地铁方庄924米,距离地铁方庄924米,押1付3,2800,顶层/28层,20,四方景园二区,合租
成寿寺,距离地铁成寿寺64米,押1付3,6000,低楼层/22层,58,中海城紫鑫阁,其他
成寿寺,距离地铁成寿寺302米,押1付3,1800,顶层/12层,15,中海城-风情苑,其他
成寿寺,距离地铁成寿寺302米,押1付3,2800,顶层/12层,35,中海城-风情苑,其他
成寿寺,距离地铁成寿寺729米,押1付3,7500,中楼层/20层,90.76,方庄南路18号院,其他
成寿寺,距离地铁成寿寺638米,押1付3,4300,低楼层/18层,51.46,金第润苑,其他
距离地铁成寿寺630米,距离地铁成寿寺630米,押1付3,2600,底层/11层,26,OLD中海城-香克林,合租
距离地铁成寿寺630米,距离地铁成寿寺630米,押1付3,2400,底层/11层,21,OLD中海城-香克林,合租
距离地铁成寿寺630米,距离地铁成寿寺630米,押1付3,2600,底层/11层,24,OLD中海城-香克林,合租
距离地铁成寿寺630米,距离地铁成寿寺630米,押1付3,2900,底层/11层,27,OLD中海城-香克林,合租
距离地铁成寿寺630米,距离地铁成寿寺630米,押1付3,2900,中楼层/12层,20,OLD中海城-香克林,合租
距离地铁成寿寺630米,距离地铁成寿寺630米,押1付3,2500,中楼层/12层,12,OLD中海城-香克林,合租
距离地铁成寿寺630米,距离地铁成寿寺630米,押1付3,2800,中楼层/12层,20,OLD中海城-香克林,合租
距离地铁成寿寺630米,距离地铁成寿寺630米,押1付3,2300,中楼层/12层,12,OLD中海城-香克林,合租
成寿寺,距离地铁肖村654米,押1付3,11000,高楼层/19层,142.08,中海城-圣朝菲,其他
距离地铁成寿寺638米,距离地铁成寿寺638米,押1付3,2200,低楼层/24层,21,金第润苑,合租
距离地铁成寿寺638米,距离地铁成寿寺638米,押1付3,2500,低楼层/24层,19,金第润苑,合租
距离地铁成寿寺638米,距离地铁成寿寺638米,押1付3,2300,低楼层/24层,21,金第润苑,合租
整租,距离地铁成寿寺188米,押2付3,5500,中楼层/6层,68,苇子坑甲1号,精装
整租,距离地铁成寿寺585米,押2付3,21840,底层/20层,182,晶城秀府,精装
整租,距离地铁肖村566米,押1付3,22000,顶层/23层,265,中海城香克林,简装
整租,距离地铁分钟寺670米,押2付3,4600,顶层/6层,75,成寿寺路66号楼,精装
整租,距离地铁成寿寺729米,押2付3,7500,中楼层/18层,89,方庄南路18号院,精装
整租,距离地铁分钟寺770米,押2付3,4000,顶层/6层,100,成寿寺路21号院,精装
整租,距离地铁肖村566米,押2付3,6800,中楼层/9层,79,中海城香克林,精装
整租,距离地铁成寿寺302米,押1付12,8000,中楼层/11层,100,中海城-风情苑,精装
整租,距离地铁成寿寺302米,押2付3,8500,底层/11层,100,中海城-风情苑,精装
距离地铁方庄924米,距离地铁方庄924米,押1付3,2500,顶层/28层,20,四方景园二区,合租
距离地铁方庄924米,距离地铁方庄924米,押1付3,2700,顶层/28层,20,四方景园二区,合租
成寿寺,距离地铁成寿寺816米,押1付3,2300,高楼层/18层,20,少角村142号院,其他
距离地铁分钟寺1055米,距离地铁分钟寺1055米,押1付3,2400,高楼层/28层,20,四方景园五区,合租
距离地铁方庄924米,距离地铁方庄924米,押1付3,2600,顶层/28层,20,四方景园二区,合租
成寿寺,距离地铁方庄924米,押1付3,5000,低楼层/28层,56.8,四方景园二区,其他
成寿寺,距离地铁成寿寺729米,押1付3,6800,低楼层/28层,83.59,方庄南路18号院,其他
整租,距离地铁成寿寺585米,押2付3,20000,底层/7层,155.44,晶城秀府,精装
成寿寺,距离地铁成寿寺638米,押1付3,2200,低楼层/24层,25,金第润苑,其他
成寿寺,距离地铁成寿寺638米,押1付3,5000,低楼层/18层,51.46,金第润苑,其他
整租,距离地铁成寿寺688米,押2付3,12000,底层/18层,147.58,文成建筑,精装
整租,距离地铁成寿寺504米,押2付3,14000,底层/22层,130,方庄公馆,精装
整租,距离地铁肖村566米,押2付3,3000,中楼层/20层,85,中海城香克林,精装
整租,距离地铁成寿寺504米,押2付3,15000,中楼层/20层,130,方庄公馆,精装
整租,距离地铁方庄1068米,押1付6,6500,中楼层/17层,90,四方景园三区,中装
整租,距离地铁肖村566米,押2付3,6200,中楼层/9层,69,中海城香克林,精装
整租,距离地铁肖村654米,押2付3,7800,高楼层/20层,102.34,中海城-圣朝菲,精装
整租,距离地铁成寿寺585米,押2付3,38000,底层/6层,200,晶城秀府,精装
