chuzu,ditie,fukuan,jiage,louceng,mianji,xiaoqu,zhuangxiu
燕莎,距离地铁亮马桥521米,押1付3,6500,低楼层/7层,60,东方东路5号楼11号楼,其他
整租,距离地铁三元桥442米,押2付3,16000,中楼层/29层,88.94,远洋新干线,中装
整租,距离地铁三元桥540米,押2付3,6800,高楼层/6层,58,霞光里30号院,中装
整租,距离地铁东风北桥976米,押2付3,36000,中楼层/9层,200,北京花园,精装
整租,距离地铁亮马桥1124米,押2付3,5500,低楼层/5层,40,新源里东小区,精装
整租,距离地铁亮马桥644米,押1付3,27000,高楼层/31层,180,US联邦公寓,精装
整租,距离地铁三元桥442米,押2付3,24000,高楼层/25层,123,远洋新干线,精装
合租,距离地铁亮马桥1184米,押2付3,3000,底层/5层,15,新源里西,中装
整租,距离地铁三元桥442米,押2付3,21806,高楼层/25层,115.63,远洋新干线,中装
合租,距离地铁亮马桥1184米,押2付3,2800,顶层/5层,20,新源里西,中装
整租,距离地铁亮马桥644米,押1付3,28000,低楼层/31层,203.12,US联邦公寓,精装
合租,距离地铁亮马桥1124米,押1付3,3100,底层/5层,18,新源里东小区,简装
整租,距离地铁亮马桥1001米,押2付3,36000,中楼层/24层,160,琨莎中心,中装
整租,距离地铁亮马桥1001米,押2付3,69000,中楼层/15层,340,琨莎中心,中装
整租,距离地铁三元桥442米,押2付3,33000,高楼层/25层,215,远洋新干线,精装
整租,距离地铁亮马桥644米,押2付3,24000,高楼层/31层,191,US联邦公寓,精装
整租,距离地铁亮马桥1001米,押1付3,36000,中楼层/24层,160,琨莎中心,中装
合租,距离地铁亮马桥491米,押1付3,3500,底层/5层,20,牛王庙,中装
整租,距离地铁枣营881米,押2付3,16500,中楼层/23层,136,亮马名居,精装
整租,距离地铁亮马桥1124米,押1付3,15000,中楼层/16层,95.7,新源里东小区,精装
整租,距离地铁枣营881米,押2付3,14500,底层/23层,134,亮马名居,精装
整租,距离地铁三元桥633米,押2付3,7000,中楼层/12层,52,三源里街,简装
合租,距离地铁亮马桥657米,押2付3,3000,中楼层/16层,62.75,三源里南小街,简装
合租,距离地铁亮马桥491米,押2付3,3400,中楼层/5层,57,牛王庙,精装
整租,距离地铁枣营881米,押2付3,18500,低楼层/23层,144,亮马名居,精装
燕莎,距离地铁三元桥573米,押1付3,3300,高楼层/6层,20,霞光里35号院,其他
整租,距离地铁枣营881米,押2付3,14500,中楼层/28层,134,亮马名居,精装
整租,距离地铁亮马桥463米,押1付3,8000,底层/6层,57,顺源里小区,简装
整租,距离地铁枣营881米,押2付3,15500,中楼层/23层,112,亮马名居,精装
整租,距离地铁亮马桥463米,押2付3,8200,顶层/6层,65,顺源里小区,中装
整租,距离地铁枣营881米,押2付3,28500,低楼层/23层,229,亮马名居,精装
整租,距离地铁亮马桥1001米,押2付3,28000,低楼层/24层,161.91,琨莎中心,中装
整租,距离地铁枣营881米,押1付3,23000,中楼层/23层,168,亮马名居,精装
合租,距离地铁亮马桥1184米,押2付3,3200,中楼层/5层,15,新源里西,中装
整租,距离地铁亮马桥913米,押1付3,50400,底层/20层,112,世方豪庭,中装
合租,距离地铁亮马桥1184米,押2付3,2200,中楼层/5层,15,新源里西,简装
合租,距离地铁亮马桥1184米,押2付3,2700,底层/5层,15,新源里西,中装
整租,距离地铁枣营881米,押2付3,14000,低楼层/28层,90,亮马名居,简装
整租,距离地铁亮马桥841米,押2付3,9000,高楼层/16层,85,新源南路,豪装
燕莎,距离地铁三元桥633米,押1付3,5300,低楼层/6层,37,三源里街,其他
燕莎,距离地铁亮马桥841米,押1付3,7100,中楼层/6层,61.11,新源南路,其他
燕莎,距离地铁亮马桥664米,押1付3,5400,底层/6层,60,新源街,其他
燕莎,距离地铁三元桥540米,押1付3,4200,中楼层/6层,46,霞光里30号院,其他
合租,距离地铁亮马桥1184米,押1付3,2600,中楼层/5层,18,新源里西,中装
燕莎,距离地铁三元桥540米,押1付3,6600,低楼层/6层,59,霞光里30号院,其他
整租,距离地铁亮马桥644米,押2付3,28000,中楼层/31层,228,US联邦公寓,精装
整租,距离地铁亮马桥664米,押1付3,5300,中楼层/6层,37,新源街,简装
整租,距离地铁亮马桥659米,押1付3,26000,高楼层/20层,164,嘉里星源汇,精装
整租,距离地铁枣营881米,押1付3,14000,低楼层/23层,140,亮马名居,精装
整租,距离地铁亮马桥659米,押2付3,15000,低楼层/20层,87,嘉里星源汇,精装
合租,距离地铁亮马桥1184米,押1付3,2700,低楼层/5层,10,新源里西,中装
整租,距离地铁亮马桥463米,押2付3,8800,顶层/6层,75,顺源里小区,精装
整租,距离地铁三元桥657米,押2付3,5200,高楼层/16层,45,三源里北小街,中装
整租,距离地铁亮马桥664米,押1付3,7300,顶层/6层,55,新源街,中装
整租,距离地铁亮马桥913米,押2付3,50000,顶层/20层,356.72,世方豪庭,精装
合租,距离地铁三元桥633米,押1付3,3000,中楼层/6层,15,三源里街,中装
整租,距离地铁三元桥264米,押1付3,14000,低楼层/23层,132,国际港,精装
整租,距离地铁三元桥633米,押2付3,8500,顶层/6层,78,三源里街,豪装
